Date,AGGH.MI,CSPX.L,EFA,GLD,TIP,TLT,VNQ,XEON.MI,SPY
2020-09-25,5.353000164031982,304.7269592285156,53.48351287841797,174.94000244140625,101.76207733154297,137.997802734375,62.83956527709961,136.14950561523438,304.7269592285156
2020-09-28,5.3520002365112305,309.7882995605469,54.28899383544922,176.6999969482422,101.97135162353516,137.60508728027344,64.12547302246094,136.1779022216797,309.7882995605469
2020-09-29,5.355999946594238,308.1012268066406,54.22964096069336,178.19000244140625,102.14038848876953,137.76380920410156,63.66450119018555,136.1221923828125,308.1012268066406
2020-09-30,5.343999862670898,310.4372253417969,53.966800689697266,177.1199951171875,101.83451843261719,136.44334411621094,63.85860061645508,136.14930725097656,310.4372253417969
2020-10-01,5.3480000495910645,312.43017578125,54.280513763427734,178.6999969482422,101.81591033935547,136.66844177246094,65.13642883300781,136.13600158691406,312.43017578125
2020-10-02,5.3470001220703125,309.4638671875,54.17028045654297,178.5399932861328,101.83208465576172,136.15809631347656,66.26057434082031,136.13360595703125,309.4638671875
2020-10-05,5.3470001220703125,314.9515075683594,54.99271774291992,179.41000366210938,101.52516174316406,133.4976806640625,66.64070129394531,136.15679931640625,314.9515075683594
2020-10-06,5.340000152587891,310.4742736816406,54.407691955566406,177.3000030517578,101.54133605957031,134.2171630859375,66.20396423339844,136.12550354003906,310.4742736816406
2020-10-07,5.341000080108643,315.8785705566406,54.874019622802734,177.22000122070312,101.53321075439453,133.23826599121094,66.30101013183594,136.12510681152344,315.8785705566406
2020-10-08,5.35099983215332,318.6780700683594,55.25556564331055,177.85000610351562,101.93709564208984,133.95774841308594,67.40899658203125,136.12069702148438,318.6780700683594
2020-10-09,5.3480000495910645,321.5238952636719,55.68796920776367,181.0800018310547,101.9693832397461,133.9326934814453,67.14209747314453,136.08700561523438,321.5238952636719
2020-10-12,5.348999977111816,326.6965026855469,56.01015853881836,180.55999755859375,102.03401947021484,134.35934448242188,67.45751190185547,136.1414031982422,326.6965026855469
2020-10-13,5.368000030517578,324.56439208984375,55.38274383544922,177.72000122070312,102.03401947021484,135.32147216796875,66.30101013183594,136.0780029296875,324.56439208984375
2020-10-14,5.360000133514404,322.5250244140625,55.28947067260742,178.27000427246094,102.03401947021484,135.63096618652344,65.49227905273438,136.07589721679688,322.5250244140625
2020-10-15,5.363999843597412,322.12640380859375,54.63661193847656,178.9199981689453,102.0016860961914,135.39674377441406,65.8319320678711,136.072998046875,322.12640380859375
2020-10-16,5.364999771118164,321.93170166015625,54.89097595214844,178.3000030517578,102.04207611083984,135.02024841308594,65.36286163330078,136.07989501953125,321.93170166015625
2020-10-19,5.364999771118164,317.0372314453125,54.68748474121094,178.38999938964844,101.7997817993164,134.5098876953125,64.34384155273438,136.13299560546875,317.0372314453125
2020-10-20,5.359000205993652,318.3072509765625,54.95880889892578,179.25,101.7109375,133.22991943359375,64.8048324584961,136.12939453125,318.3072509765625
2020-10-21,5.353000164031982,317.7047119140625,54.69596862792969,180.60000610351562,101.67861938476562,132.76976013183594,64.61073303222656,136.09500122070312,317.7047119140625
2020-10-22,5.340000152587891,319.4473876953125,54.73834991455078,178.8300018310547,101.52516174316406,131.38941955566406,64.6026382446289,136.09030151367188,319.4473876953125
2020-10-23,5.354000091552734,320.5320129394531,55.09446334838867,178.63999938964844,101.64630889892578,132.1925506591797,64.9908447265625,136.05599975585938,320.5320129394531
2020-10-26,5.348999977111816,314.608642578125,54.102455139160156,178.5500030517578,101.72710418701172,133.42237854003906,64.06078338623047,136.1179962158203,314.608642578125
2020-10-27,5.367000102996826,313.5240783691406,53.67851638793945,179.02000427246094,101.92900085449219,134.3175506591797,63.033668518066406,136.0780029296875,313.5240783691406
2020-10-28,5.35699987411499,302.80810546875,52.076053619384766,176.1300048828125,101.7997817993164,134.44300842285156,61.52940368652344,136.07730102539062,302.80810546875
2020-10-29,5.355000019073486,305.8856506347656,52.321937561035156,175.39999389648438,101.45246887207031,133.13790893554688,62.354312896728516,136.0760040283203,305.8856506347656
2020-10-30,5.354000091552734,302.69683837890625,52.05060958862305,176.1999969482422,101.14556121826172,131.82447814941406,61.941871643066406,136.07330322265625,302.69683837890625
2020-11-02,5.3480000495910645,306.0896301269531,52.72890853881836,177.91000366210938,101.51643371582031,132.81195068359375,63.421875,136.0706024169922,306.0896301269531
2020-11-03,5.3460001945495605,311.49395751953125,54.110931396484375,178.9199981689453,101.43544006347656,132.0413055419922,64.6430892944336,136.0594940185547,311.49395751953125
