Date,AGGH.MI,CSPX.L,EFA,GLD,TIP,TLT,VNQ,XEON.MI,SPY
2020-08-27,5.328000068664551,321.60845947265625,55.128379821777344,181.24000549316406,101.44007873535156,134.6030731201172,65.84732818603516,136.1851043701172,321.60845947265625
2020-08-28,5.322000026702881,323.6857604980469,55.51839828491211,184.38999938964844,101.76207733154297,134.50286865234375,66.28067779541016,136.20860290527344,323.6857604980469
2020-08-31,5.322999954223633,322.5132141113281,55.09446716308594,184.8300018310547,102.22091674804688,135.39614868164062,65.60655975341797,136.20269775390625,322.5132141113281
2020-09-01,5.340000152587891,325.55084228515625,55.1538200378418,185.0500030517578,102.27727508544922,136.94476318359375,65.65471649169922,136.2021942138672,325.55084228515625
2020-09-02,5.355000019073486,330.2596435546875,55.89146041870117,182.6199951171875,102.31749725341797,138.24856567382812,66.87455749511719,136.2017059326172,330.2596435546875
2020-09-03,5.361000061035156,318.8939514160156,54.62812805175781,181.13999938964844,101.96329498291016,138.64137268066406,66.07201385498047,136.16400146484375,318.8939514160156
2020-09-04,5.3470001220703125,316.29034423828125,54.704437255859375,181.63999938964844,101.64934539794922,136.00872802734375,65.72692108154297,136.16200256347656,316.29034423828125
2020-09-07,5.34499979019165,316.29034423828125,54.704437255859375,181.63999938964844,101.64934539794922,136.00872802734375,65.72692108154297,136.1905975341797,316.29034423828125
2020-09-08,5.35099983215332,307.64837646484375,54.03462600708008,181.2899932861328,101.74597930908203,136.8445587158203,64.9244155883789,136.1873016357422,307.64837646484375
2020-09-09,5.340000152587891,313.72357177734375,55.0435905456543,183.0500030517578,101.80230712890625,136.4767608642578,65.56642150878906,136.18460083007812,313.72357177734375
2020-09-10,5.340000152587891,308.27618408203125,54.39921188354492,182.4600067138672,101.89086151123047,137.17041015625,64.76390075683594,136.18319702148438,308.27618408203125
2020-09-11,5.349999904632568,308.43310546875,54.941856384277344,182.4499969482422,101.8344955444336,137.46290588378906,64.40277862548828,136.1800994873047,308.43310546875
2020-09-14,5.360000133514404,312.49566650390625,55.23860168457031,183.88999938964844,101.77013397216797,137.4546356201172,65.9757080078125,136.2010955810547,312.49566650390625
2020-09-15,5.35699987411499,314.07452392578125,55.59470748901367,183.4499969482422,101.84255981445312,137.1203155517578,66.77022552490234,136.1688995361328,314.07452392578125
2020-09-16,5.359000205993652,312.8280334472656,55.59470748901367,183.97000122070312,101.84255981445312,136.7108154296875,67.12333679199219,136.16769409179688,312.8280334472656
2020-09-17,5.36899995803833,310.0765380859375,55.671016693115234,182.9600067138672,101.89889526367188,137.12867736816406,65.8152084350586,136.14639282226562,310.0765380859375
2020-09-18,5.363999843597412,306.50677490234375,55.22163772583008,183.1999969482422,101.81037139892578,136.70248413085938,64.33052062988281,136.16600036621094,306.50677490234375
2020-09-21,5.364999771118164,303.095458984375,53.822654724121094,179.52000427246094,101.6252212524414,137.39605712890625,62.396453857421875,136.164794921875,303.095458984375
2020-09-22,5.361000061035156,306.1823425292969,53.80570602416992,178.64999389648438,101.65740966796875,137.28744506835938,63.14280319213867,136.16200256347656,306.1823425292969
2020-09-23,5.357999801635742,299.0816650390625,53.3563346862793,174.7899932861328,101.55277252197266,137.4713592529297,61.24081802368164,136.1820068359375,299.0816650390625
2020-09-24,5.3520002365112305,299.87884521484375,53.30546188354492,175.44000244140625,101.6252212524414,137.99778747558594,61.569847106933594,136.1522979736328,299.87884521484375
2020-09-25,5.353000164031982,304.7269592285156,53.48351287841797,174.94000244140625,101.76207733154297,137.99778747558594,62.83955764770508,136.14950561523438,304.7269592285156
2020-09-28,5.3520002365112305,309.78826904296875,54.28899383544922,176.6999969482422,101.97137451171875,137.6050567626953,64.12548828125,136.1779022216797,309.78826904296875
2020-09-29,5.355999946594238,308.10113525390625,54.229637145996094,178.19000244140625,102.14039611816406,137.7637939453125,63.66451644897461,136.1221923828125,308.10113525390625
2020-09-30,5.343999862670898,310.4371643066406,53.966796875,177.1199951171875,101.8344955444336,136.44332885742188,63.85860824584961,136.14930725097656,310.4371643066406
2020-10-01,5.3480000495910645,312.4302062988281,54.280513763427734,178.6999969482422,101.8159408569336,136.6683807373047,65.13642883300781,136.13600158691406,312.4302062988281
2020-10-02,5.3470001220703125,309.4638671875,54.1702880859375,178.5399932861328,101.83209991455078,136.15811157226562,66.26058197021484,136.13360595703125,309.4638671875
2020-10-05,5.3470001220703125,314.9515686035156,54.992713928222656,179.41000366210938,101.52515411376953,133.49761962890625,66.64070129394531,136.15679931640625,314.9515686035156
