Date,AGGH.MI,CSPX.L,EFA,GLD,TIP,TLT,VNQ,XEON.MI
2019-08-29,5.285999774932861,289.05999755859375,52.048255920410156,144.1199951171875,94.20067596435547,120.72088623046875,71.31783294677734,136.9687957763672
2019-08-30,5.289000034332275,288.8800048828125,52.25492858886719,143.75,93.84175109863281,120.75369262695312,71.37199401855469,136.9656982421875
2019-09-02,5.2820000648498535,288.2200012207031,52.25492858886719,143.75,93.84175109863281,120.75369262695312,71.37199401855469,136.96279907226562
2019-09-03,5.291999816894531,287.1300048828125,52.15572738647461,145.75,93.7292251586914,120.90974426269531,72.0840072631836,136.9658966064453
2019-09-04,5.289000034332275,290.0799865722656,52.89148712158203,146.66000366210938,93.96064758300781,121.09042358398438,72.68767547607422,136.95880126953125
2019-09-05,5.256999969482422,294.8900146484375,53.17255401611328,143.13999938964844,93.53771209716797,118.8974838256836,72.16139221191406,136.95880126953125
2019-09-06,5.26800012588501,294.9100036621094,53.34615707397461,141.9199981689453,93.61752319335938,119.74342346191406,72.32391357421875,136.93299865722656
2019-09-09,5.249000072479248,295.2799987792969,53.503231048583984,141.38999938964844,93.138671875,117.61614990234375,71.97566986083984,136.92799377441406
2019-09-10,5.236000061035156,292.82000732421875,53.59416961669922,140.17999267578125,92.60401916503906,115.55461883544922,71.23268127441406,136.92799377441406
2019-09-11,5.23199987411499,295.9200134277344,53.89177322387695,141.02999877929688,92.50027465820312,115.34927368164062,71.31006622314453,136.9517059326172
2019-09-12,5.230999946594238,297.9599914550781,54.20591735839844,141.32000732421875,92.42843627929688,114.59361267089844,71.68928527832031,136.9477996826172
2019-09-13,5.199999809265137,298.17999267578125,54.51179122924805,140.14999389648438,91.88574981689453,112.14599609375,70.92310333251953,136.9311981201172
2019-09-16,5.203000068664551,296.57000732421875,54.02404022216797,141.32000732421875,92.43639373779297,113.5751724243164,71.54226684570312,136.9434051513672
2019-09-17,5.208000183105469,296.760009765625,54.20591735839844,141.60000610351562,92.55614471435547,114.1911392211914,72.31620025634766,136.9429931640625
2019-09-18,5.2210001945495605,296.5799865722656,54.13977813720703,140.7100067138672,92.26882934570312,114.67576599121094,72.06851196289062,136.9429931640625
2019-09-19,5.21999979019165,299.0,54.321651458740234,141.27999877929688,92.4523696899414,115.02076721191406,72.32391357421875,136.93609619140625
2019-09-20,5.2270002365112305,297.989990234375,54.19764709472656,142.9499969482422,92.96308898925781,116.54023742675781,72.32391357421875,136.93310546875
2019-09-23,5.245999813079834,296.260009765625,54.05710983276367,143.75,93.0908203125,116.51558685302734,72.44002532958984,136.92799377441406
2019-09-24,5.251999855041504,296.1000061035156,53.850440979003906,144.50999450683594,93.29833984375,117.92002868652344,72.2793197631836,136.94790649414062
2019-09-25,5.24399995803833,294.2699890136719,53.693363189697266,141.8300018310547,92.81149291992188,116.19523620605469,72.41971588134766,136.94790649414062
2019-09-26,5.243000030517578,293.8500061035156,53.89177322387695,141.7899932861328,92.86735534667969,116.94267272949219,73.02823638916016,136.94790649414062
2019-09-27,5.244999885559082,295.489990234375,53.70991134643555,141.05999755859375,92.72368621826172,117.23013305664062,72.62255859375,136.9346923828125
2019-09-30,5.241000175476074,294.8800048828125,53.90830612182617,138.8699951171875,92.80354309082031,117.51762390136719,72.74740600585938,136.9134979248047
2019-10-01,5.247000217437744,293.3599853515625,53.37921905517578,139.6300048828125,92.98417663574219,117.87136840820312,72.06086730957031,136.92149353027344
2019-10-02,5.244999885559082,285.6700134277344,52.28800582885742,141.25999450683594,92.98417663574219,118.15938568115234,71.7566146850586,136.90280151367188
2019-10-03,5.25600004196167,286.2799987792969,52.63521194458008,141.89999389648438,93.27996063232422,119.23717498779297,72.45093536376953,136.89810180664062
2019-10-04,5.257999897003174,290.7200012207031,53.04854965209961,141.89999389648438,93.56773376464844,120.1175537109375,72.88782501220703,136.90660095214844
2019-10-07,5.256999969482422,292.5,52.9824104309082,140.69000244140625,93.31193542480469,119.12202453613281,72.73177337646484,136.89590454101562
2019-10-08,5.261000156402588,286.9100036621094,52.48640823364258,141.9199981689453,93.22400665283203,119.44293212890625,72.34951782226562,136.90879821777344
2019-10-09,5.251999855041504,288.5199890136719,52.86668395996094,142.0500030517578,93.0321273803711,118.76825714111328,72.48993682861328,136.89129638671875
2019-10-10,5.230999946594238,291.8399963378906,53.23868942260742,140.80999755859375,92.73636627197266,116.99922943115234,72.6069564819336,136.88839721679688
2019-10-11,5.2129998207092285,296.4800109863281,54.189388275146484,140.02999877929688,92.44859313964844,115.5511703491211,72.57575225830078,136.86390686035156
2019-10-14,5.2179999351501465,294.30999755859375,53.96617889404297,140.58999633789062,92.6004638671875,116.39044189453125,72.6069564819336,136.87789916992188
2019-10-15,5.2129998207092285,297.0,54.59445571899414,139.61000061035156,92.28868865966797,114.98346710205078,72.70056915283203,136.87710571289062
2019-10-16,5.211999893188477,296.2900085449219,54.677127838134766,140.41000366210938,92.43257141113281,115.12329864501953,72.70838165283203,136.87710571289062
2019-10-17,5.210999965667725,296.8599853515625,54.80939483642578,140.61000061035156,92.56050109863281,114.84354400634766,73.18428802490234,136.87680053710938
2019-10-18,5.211999893188477,296.44000244140625,54.78459930419922,140.4600067138672,92.70438385009766,114.84354400634766,73.74596405029297,136.87559509277344
2019-10-21,5.197999954223633,297.6000061035156,55.08219528198242,139.7899932861328,92.40862274169922,113.97964477539062,74.30763244628906,136.87559509277344
2019-10-22,5.205999851226807,298.3399963378906,54.94993591308594,140.1999969482422,92.68843841552734,114.64611053466797,74.0892105102539,136.87559509277344
2019-10-23,5.211999893188477,297.3299865722656,55.24753952026367,140.52999877929688,92.75237274169922,114.76126861572266,74.25303649902344,136.85760498046875
