Date,AGGH.MI,CSPX.L,EFA,GLD,TIP,TLT,VNQ,XEON.MI,AGG
2018-08-28,84.71479034423828,281.7200012207031,54.57044219970703,113.68000030517578,87.49954986572266,96.52449035644531,62.48386001586914,137.5970001220703,84.71479034423828
2018-08-29,84.69893646240234,283.260009765625,54.866676330566406,114.19999694824219,87.49954986572266,96.65229797363281,62.49869918823242,137.6112060546875,84.69893646240234
2018-08-30,84.73878479003906,282.55999755859375,54.346275329589844,113.63999938964844,87.57764434814453,96.85995483398438,62.098167419433594,137.6096954345703,84.73878479003906
2018-08-31,84.73082733154297,281.82000732421875,53.9139289855957,113.51000213623047,87.47615814208984,96.63627624511719,62.34293746948242,137.6063995361328,84.73082733154297
2018-09-03,84.73082733154297,282.94000244140625,53.9139289855957,113.51000213623047,87.47615814208984,96.63627624511719,62.34293746948242,137.6063995361328,84.73082733154297
2018-09-04,84.63663482666016,281.6199951171875,53.457576751708984,112.93000030517578,87.35556030273438,96.07756805419922,61.6012077331543,137.59710693359375,84.63663482666016
2018-09-05,84.59674072265625,280.125,52.96920394897461,113.31999969482422,87.26943969726562,95.82146453857422,61.95723342895508,137.6011962890625,84.59674072265625
2018-09-06,84.7403793334961,279.67999267578125,52.8090705871582,113.54000091552734,87.34774017333984,96.17366027832031,62.13523864746094,137.59800720214844,84.7403793334961
2018-09-07,84.4371337890625,280.489990234375,52.38475036621094,113.2300033569336,87.0971450805664,95.35718536376953,61.460289001464844,137.59559631347656,84.4371337890625
2018-09-10,84.51693725585938,280.4200134277344,52.704986572265625,113.1500015258789,87.12065887451172,95.7093734741211,61.73472213745117,137.59469604492188,84.51693725585938
2018-09-11,84.37328338623047,280.510009765625,52.75303268432617,113.22000122070312,86.94049835205078,94.98095703125,61.72730255126953,137.5883026123047,84.37328338623047
2018-09-12,84.42913055419922,281.3999938964844,52.977195739746094,114.16999816894531,87.01882934570312,95.20509338378906,61.756980895996094,137.57859802246094,84.42913055419922
2018-09-13,84.48503112792969,282.04998779296875,53.36951446533203,113.76000213623047,86.8935317993164,95.34919738769531,62.06107711791992,137.58689880371094,84.48503112792969
2018-09-14,84.32540130615234,283.010009765625,53.44956588745117,113.0199966430664,86.73690795898438,94.89291381835938,61.66794967651367,137.5841064453125,84.32540130615234
2018-09-17,84.32540130615234,282.0199890136719,53.49760437011719,113.61000061035156,86.7525863647461,94.89291381835938,61.86822509765625,137.57620239257812,84.32540130615234
2018-09-18,84.14183807373047,282.8999938964844,54.05803680419922,113.44000244140625,86.57245635986328,93.90037536621094,61.571529388427734,137.57650756835938,84.14183807373047
2018-09-19,83.98219299316406,283.29998779296875,54.25019073486328,113.87999725341797,86.47847747802734,93.34005737304688,60.852046966552734,137.59519958496094,83.98219299316406
2018-09-20,84.0939712524414,285.1000061035156,54.92271423339844,114.2699966430664,86.59597778320312,93.77227783203125,61.423187255859375,137.57150268554688,84.0939712524414
2018-09-21,84.15782165527344,285.80999755859375,54.946739196777344,113.48999786376953,86.60379791259766,93.73228454589844,61.40092849731445,137.5718994140625,84.15782165527344
2018-09-24,84.07801055908203,284.1449890136719,54.69852828979492,113.47000122070312,86.51766204833984,93.49217224121094,60.298309326171875,137.56309509277344,84.07801055908203
2018-09-25,84.03812408447266,284.5299987792969,54.97076416015625,113.6500015258789,86.48633575439453,93.39610290527344,60.30583953857422,137.56109619140625,84.03812408447266
2018-09-26,84.23760223388672,284.5899963378906,54.99477767944336,113.05000305175781,86.63512420654297,94.0524673461914,59.58378601074219,137.56149291992188,84.23760223388672
2018-09-27,84.29346466064453,284.3900146484375,54.88268280029297,112.05000305175781,86.66643524169922,94.11649322509766,59.869598388671875,137.56080627441406,84.29346466064453
2018-09-28,84.20567321777344,284.1499938964844,54.4343376159668,112.76000213623047,86.62730407714844,93.86832427978516,60.681880950927734,137.5592041015625,84.20567321777344
2018-10-01,84.18327331542969,285.55999755859375,54.49837875366211,112.56999969482422,86.36936950683594,93.17925262451172,60.11779022216797,137.55160522460938,84.18327331542969
2018-10-02,84.27928161621094,284.9200134277344,54.21817398071289,113.87000274658203,86.510498046875,93.74884033203125,59.982398986816406,137.5511932373047,84.27928161621094
2018-10-03,83.8792953491211,285.6700134277344,54.12208557128906,113.41999816894531,86.09503936767578,92.12028503417969,59.34309005737305,137.55029296875,83.8792953491211
2018-10-04,83.63935089111328,282.75,53.48959732055664,113.4800033569336,85.88341522216797,91.47048950195312,58.84669494628906,137.54769897460938,83.63935089111328
2018-10-05,83.45537567138672,281.2099914550781,53.169349670410156,113.80000305175781,85.6482925415039,90.6843490600586,58.816619873046875,137.54519653320312,83.45537567138672
2018-10-08,83.42338562011719,279.92999267578125,52.91314697265625,112.54000091552734,85.60912322998047,90.37944793701172,59.66652297973633,137.53829956054688,83.42338562011719
2018-10-09,83.54336547851562,281.3900146484375,52.77705001831055,112.5999984741211,85.85205841064453,91.29399108886719,59.74925994873047,137.53799438476562,83.54336547851562
2018-10-10,83.51934814453125,276.4599914550781,51.65617370605469,112.87999725341797,85.76583099365234,91.0452880859375,58.86174392700195,137.53720092773438,83.51934814453125
2018-10-11,83.7673568725586,268.6600036621094,50.93561553955078,115.77999877929688,85.90692901611328,92.15238952636719,57.17695236206055,137.53900146484375,83.7673568725586
2018-10-12,83.79132080078125,269.1199951171875,51.11976623535156,115.2300033569336,85.77368927001953,91.83147430419922,57.02655792236328,137.53790283203125,83.79132080078125
2018-10-15,83.7353515625,269.7300109863281,50.999664306640625,116.0,85.82856750488281,91.79137420654297,57.410133361816406,137.5290069580078,83.7353515625
2018-10-16,83.7833480834961,271.8800048828125,51.872344970703125,115.80000305175781,85.8364028930664,91.99995422363281,58.59098434448242,137.52699279785156,83.7833480834961
2018-10-17,83.61534118652344,272.3299865722656,51.576107025146484,115.79000091552734,85.63261413574219,91.45446014404297,58.365333557128906,137.5247039794922,83.61534118652344
2018-10-18,83.55938720703125,270.79998779296875,50.743473052978516,115.91999816894531,85.56988525390625,91.42236328125,58.252506256103516,137.5225067138672,83.55938720703125
2018-10-19,83.48738861083984,271.0899963378906,51.03168869018555,116.01000213623047,85.49150848388672,91.2218246459961,58.75642776489258,137.52609252929688,83.48738861083984
2018-10-22,83.47137451171875,269.0,50.807518005371094,115.70999908447266,85.44448852539062,91.1014633178711,57.936622619628906,137.51510620117188,83.47137451171875
2018-10-23,83.57535552978516,264.04998779296875,50.327144622802734,116.38999938964844,85.46797180175781,91.39026641845703,58.19234085083008,137.52040100097656,83.57535552978516
2018-10-24,83.79132080078125,263.760009765625,48.902042388916016,116.66000366210938,85.75019073486328,92.08014678955078,58.74138641357422,137.5153045654297,83.79132080078125
2018-10-25,83.7193374633789,263.2799987792969,49.51851272583008,116.4000015258789,85.3896255493164,91.69512176513672,59.493526458740234,137.5251007080078,83.7193374633789
2018-10-26,83.91134643554688,259.55999755859375,49.182247161865234,116.7699966430664,85.82074737548828,92.2486343383789,58.06446838378906,137.51870727539062,83.91134643554688
2018-10-29,83.8233413696289,260.3399963378906,49.046146392822266,116.30999755859375,85.7344741821289,92.04007720947266,58.80156707763672,137.51429748535156,83.8233413696289
2018-10-30,83.70333099365234,259.0400085449219,49.638614654541016,115.80000305175781,85.5071792602539,91.5827865600586,59.606346130371094,137.4989013671875,83.70333099365234
2018-10-31,83.66337585449219,264.79998779296875,50.00689697265625,115.1500015258789,85.31122589111328,91.11753845214844,58.9068717956543,137.5041046142578,83.66337585449219
2018-11-01,83.87480163574219,266.3399963378906,50.647396087646484,116.62999725341797,85.20217895507812,91.20194244384766,59.18516159057617,137.5030975341797,83.87480163574219
2018-11-02,83.62557983398438,264.3900146484375,50.71944808959961,116.6500015258789,84.94332122802734,90.06808471679688,58.6962776184082,137.4947967529297,83.62557983398438
2018-11-05,83.68183135986328,265.7699890136719,50.71944808959961,116.37000274658203,85.1002197265625,90.42188262939453,59.5687370300293,137.49290466308594,83.68183135986328
2018-11-06,83.68990325927734,267.489990234375,50.927616119384766,116.04000091552734,85.06881713867188,90.36558532714844,59.869598388671875,137.49330139160156,83.68990325927734
2018-11-07,83.76224517822266,271.8800048828125,51.60813522338867,116.02999877929688,85.13160705566406,90.4862060546875,60.58412551879883,137.49000549316406,83.76224517822266
2018-11-08,83.60948944091797,274.19000244140625,51.10374450683594,115.77999877929688,85.01393127441406,90.4781494140625,60.62925720214844,137.48309326171875,83.60948944091797
2018-11-09,83.71401977539062,271.42999267578125,50.76748275756836,114.4800033569336,85.21788787841797,91.15367126464844,60.62171936035156,137.48280334472656,83.71401977539062
2018-11-12,83.8507080078125,266.95001220703125,49.934837341308594,113.66000366210938,85.3983154296875,91.7488021850586,60.7420768737793,137.47779846191406,83.8507080078125
2018-11-13,83.8828125,268.2699890136719,50.151004791259766,113.69999694824219,85.32771301269531,91.6924819946289,60.681880950927734,137.4783935546875,83.8828125
2018-11-14,83.89083862304688,264.6600036621094,50.1910285949707,114.63999938964844,85.33556365966797,91.7488021850586,60.531471252441406,137.47650146484375,83.89083862304688
2018-11-15,83.99532318115234,263.82000732421875,50.351173400878906,114.7699966430664,85.4061508178711,91.70860290527344,60.11779022216797,137.4759979248047,83.99532318115234
2018-11-16,84.13199615478516,266.0799865722656,50.40719985961914,115.62000274658203,85.7591781616211,92.23934173583984,60.76464080810547,137.47540283203125,84.13199615478516
2018-11-19,84.12395477294922,263.9800109863281,49.96686553955078,115.66999816894531,85.71996307373047,92.49668884277344,60.84736251831055,137.4654998779297,84.12395477294922
2018-11-20,84.09178924560547,258.4700012207031,49.102195739746094,115.66999816894531,85.59442901611328,92.52887725830078,60.223106384277344,137.46839904785156,84.09178924560547
2018-11-21,84.14810180664062,260.4700012207031,49.79072570800781,115.86000061035156,85.55516052246094,92.49668884277344,60.275760650634766,137.46839904785156,84.14810180664062
2018-11-22,84.14810180664062,256.864990234375,49.79072570800781,115.86000061035156,85.55516052246094,92.49668884277344,60.275760650634766,137.46279907226562,84.14810180664062
2018-11-23,84.12395477294922,258.1199951171875,49.46247863769531,115.7699966430664,85.421875,92.59319305419922,60.1554069519043,137.46200561523438,84.12395477294922
