Date,AGGH.MI,CSPX.L,EFA,GLD,TIP,TLT,VNQ,XEON.MI,SPY,AGG
2016-08-26,85.19036102294922,185.5673370361328,44.162071228027344,126.05000305175781,86.34100341796875,105.07057189941406,59.83920669555664,139.03909301757812,185.5673370361328,85.19036102294922
2016-08-29,85.42544555664062,186.4811553955078,44.29826354980469,126.30000305175781,86.6544189453125,106.47555541992188,60.42958068847656,139.01620483398438,186.4811553955078,85.42544555664062
2016-08-30,85.37989807128906,186.1736602783203,44.23773956298828,125.02999877929688,86.57978057861328,106.0654525756836,60.31424331665039,139.0135040283203,186.1736602783203,85.37989807128906
2016-08-31,85.36477661132812,185.64418029785156,44.14693832397461,124.77999877929688,86.59471893310547,106.21736907958984,60.37530517578125,139.01210021972656,185.64418029785156,85.36477661132812
2016-09-01,85.43924713134766,185.6527099609375,44.44957733154297,125.29000091552734,86.66815948486328,106.33442687988281,60.226009368896484,139.01930236816406,185.6527099609375,85.43924713134766
2016-09-02,85.3252944946289,186.48971557617188,44.96405792236328,126.56999969482422,86.57072448730469,105.46720886230469,60.74851989746094,139.0364990234375,186.48971557617188,85.3252944946289
2016-09-05,85.3252944946289,186.48971557617188,44.96405792236328,126.56999969482422,86.57072448730469,105.46720886230469,60.74851989746094,139.00259399414062,186.48971557617188,85.3252944946289
2016-09-06,85.50759887695312,187.05332946777344,45.266685485839844,128.7100067138672,86.98265075683594,106.23555755615234,61.21675491333008,139.02239990234375,187.05332946777344,85.50759887695312
2016-09-07,85.55321502685547,187.0362548828125,45.289398193359375,128.27000427246094,87.09503936767578,106.15945434570312,61.58320617675781,138.99710083007812,187.0362548828125,85.55321502685547
2016-09-08,85.25689697265625,186.60922241210938,45.1607780456543,127.58999633789062,86.78795623779297,104.82813262939453,60.82997512817383,139.0146942138672,186.60922241210938,85.25689697265625
2016-09-09,84.88460540771484,182.1427459716797,44.28312301635742,126.75,86.18879699707031,103.10114288330078,58.4209098815918,138.993896484375,182.1427459716797,84.88460540771484
2016-09-12,84.95298767089844,184.75601196289062,44.64628601074219,126.58999633789062,86.21878051757812,103.1544418334961,59.113094329833984,138.98789978027344,184.75601196289062,84.95298767089844
2016-09-13,84.71749877929688,182.1000213623047,43.74594497680664,125.75,85.83678436279297,101.98280334472656,57.62898254394531,138.99949645996094,182.1000213623047,84.71749877929688
2016-09-14,84.8238296508789,182.03173828125,43.685420989990234,126.18000030517578,85.97159576416016,102.1349868774414,57.81349182128906,138.98410034179688,182.03173828125,84.8238296508789
2016-09-15,84.87702941894531,183.85076904296875,44.063716888427734,125.37000274658203,85.94911193847656,101.69367980957031,58.032127380371094,138.99339294433594,183.85076904296875,84.87702941894531
2016-09-16,84.93781280517578,183.14007568359375,43.49627685546875,125.05999755859375,86.0914306640625,102.5152816772461,58.05945587158203,138.98049926757812,183.14007568359375,84.93781280517578
2016-09-19,84.86943054199219,183.17437744140625,43.72325134277344,125.31999969482422,85.98660278320312,102.1805648803711,58.585594177246094,138.9759063720703,183.17437744140625,84.86943054199219
2016-09-20,84.8998031616211,183.18299865722656,43.98805618286133,125.44000244140625,85.97159576416016,102.53819274902344,58.496768951416016,138.97109985351562,183.18299865722656,84.8998031616211
2016-09-21,85.112548828125,185.2429962158203,44.75977325439453,127.2699966430664,86.37602996826172,103.367431640625,59.2484016418457,138.9709930419922,185.2429962158203,85.112548828125
2016-09-22,85.28729248046875,186.41026306152344,45.21373748779297,127.56999969482422,86.80290222167969,104.18910217285156,60.30751037597656,138.9654998779297,186.41026306152344,85.28729248046875
2016-09-23,85.26446533203125,185.38890075683594,44.83543395996094,127.6500015258789,87.04256439208984,104.09013366699219,60.49198913574219,138.9665985107422,185.38890075683594,85.26446533203125
2016-09-26,85.37088012695312,183.8868408203125,44.41930389404297,127.55000305175781,87.08003997802734,104.7520523071289,60.63546371459961,138.98080444335938,183.8868408203125,85.37088012695312
2016-09-27,85.47726440429688,185.02847290039062,44.63115692138672,126.62000274658203,87.15495300292969,105.52043914794922,59.99319076538086,138.997802734375,185.02847290039062,85.47726440429688
2016-09-28,85.49998474121094,185.9468231201172,44.94892883300781,126.22000122070312,87.25978088378906,105.29222869873047,60.485164642333984,138.97650146484375,185.9468231201172,85.49998474121094
2016-09-29,85.49998474121094,184.26449584960938,44.38904571533203,126.06999969482422,87.24481964111328,105.5584716796875,59.67885971069336,138.9864044189453,184.26449584960938,85.49998474121094
2016-09-30,85.40889739990234,185.65493774414062,44.737091064453125,125.63999938964844,87.24481964111328,104.61511993408203,59.26890182495117,138.92820739746094,185.65493774414062,85.40889739990234
2016-10-03,85.31216430664062,185.20860290527344,44.61601638793945,125.31999969482422,87.16242218017578,104.2698745727539,58.16194534301758,138.94129943847656,185.20860290527344,85.31216430664062
2016-10-04,85.0229263305664,184.26449584960938,44.60845947265625,120.97000122070312,86.73548889160156,103.0504379272461,57.36931610107422,138.91400146484375,184.26449584960938,85.0229263305664
2016-10-05,84.90880584716797,185.0798797607422,44.790042877197266,120.77999877929688,86.5932388305664,102.57026672363281,56.2077522277832,138.84840393066406,185.0798797607422,84.90880584716797
2016-10-06,84.90880584716797,185.20860290527344,44.54793930053711,119.66000366210938,86.63815307617188,101.9986572265625,56.22824478149414,138.9095001220703,185.20860290527344,84.90880584716797
