Date,AGGH.MI,CSPX.L,EFA,GLD,TIP,TLT,VNQ,XEON.MI,SPY,AGG,BIL
2007-05-30,55.66572189331055,108.04219818115234,45.78089141845703,64.72000122070312,56.8397216796875,47.955238342285156,35.770790100097656,70.79456329345703,108.04219818115234,55.66572189331055,70.79456329345703
2007-05-31,55.54253005981445,107.9295654296875,46.00801086425781,65.54000091552734,56.87400817871094,47.866546630859375,35.626407623291016,70.79456329345703,107.9295654296875,55.54253005981445,70.79456329345703
2007-06-01,55.48514175415039,108.46453857421875,46.3089485168457,66.44000244140625,56.68306350708008,47.61516571044922,35.67604064941406,70.81006622314453,108.46453857421875,55.48514175415039,70.81006622314453
2007-06-04,55.55264663696289,108.4786376953125,46.433860778808594,66.54000091552734,56.83213424682617,47.83210372924805,35.820457458496094,70.82547760009766,108.4786376953125,55.55264663696289,70.82547760009766
2007-06-05,55.39509963989258,108.04920959472656,46.19538879394531,66.37000274658203,56.625709533691406,47.53169631958008,35.251869201660156,70.82547760009766,108.04920959472656,55.39509963989258,70.82547760009766
2007-06-06,55.41765594482422,106.8876953125,45.53107833862305,66.41000366210938,56.67155838012695,47.50942611694336,35.012691497802734,70.85641479492188,106.8876953125,55.41765594482422,70.85641479492188
2007-06-07,55.03510665893555,104.95892333984375,44.753204345703125,65.26000213623047,56.17841339111328,46.65827560424805,33.91165542602539,70.84100341796875,104.95892333984375,55.03510665893555,70.84100341796875
2007-06-08,54.96757507324219,106.32454681396484,45.24150466918945,64.22000122070312,56.28163146972656,46.61930465698242,34.31776428222656,70.85641479492188,106.32454681396484,54.96757507324219,70.85641479492188
2007-06-11,55.00695037841797,106.50759887695312,45.394798278808594,64.69999694824219,56.16120147705078,46.485809326171875,33.80333709716797,70.88731384277344,106.50759887695312,55.00695037841797,70.88731384277344
2007-06-12,54.68068313598633,105.3460464477539,44.58855056762695,64.0999984741211,55.81143569946289,45.81266784667969,33.21671676635742,70.82547760009766,105.3460464477539,54.68068313598633,70.82547760009766
2007-06-13,54.76504898071289,106.92294311523438,45.16768264770508,64.52999877929688,56.01789093017578,46.35786437988281,33.95225524902344,70.88731384277344,106.92294311523438,54.76504898071289,70.88731384277344
2007-06-14,54.87195587158203,107.60574340820312,45.502681732177734,64.5999984741211,56.05228805541992,46.24102020263672,33.58674240112305,70.91825103759766,107.60574340820312,54.87195587158203,70.91825103759766
2007-06-15,55.06884765625,108.21796417236328,45.87174606323242,64.8499984741211,56.21855163574219,46.55814743041992,33.956756591796875,70.98006439208984,108.21796417236328,55.06884765625,70.98006439208984
2007-06-18,55.108192443847656,108.09076690673828,46.12724685668945,64.94999694824219,56.172691345214844,46.46355056762695,33.43330764770508,70.99555206298828,108.09076690673828,55.108192443847656,70.99555206298828
2007-06-19,55.2825813293457,108.35941314697266,46.172664642333984,65.4800033569336,56.47086715698242,46.89747619628906,33.49649429321289,70.99555206298828,108.35941314697266,55.2825813293457,70.99555206298828
2007-06-20,55.11384201049805,106.85354614257812,45.62759780883789,64.70999908447266,56.2586784362793,46.5191764831543,32.49020004272461,71.010986328125,106.85354614257812,55.11384201049805,71.010986328125
