Date,AGGH.MI,CSPX.L,EFA,GLD,TIP,TLT,VNQ,XEON.MI,SPY,AGG,BIL
2007-05-30,55.665733337402344,108.04219818115234,45.78089904785156,64.72000122070312,56.839698791503906,47.95526123046875,35.77081298828125,70.79459381103516,108.04219818115234,55.665733337402344,70.79459381103516
2007-05-31,55.54256057739258,107.92961120605469,46.00801086425781,65.54000091552734,56.87397003173828,47.86660385131836,35.62641143798828,70.79459381103516,107.92961120605469,55.54256057739258,70.79459381103516
2007-06-01,55.48516082763672,108.46455383300781,46.30894088745117,66.44000244140625,56.683040618896484,47.61510467529297,35.67604446411133,70.8100357055664,108.46455383300781,55.48516082763672,70.8100357055664
2007-06-04,55.55265426635742,108.47865295410156,46.433868408203125,66.54000091552734,56.832130432128906,47.83208465576172,35.8204460144043,70.82544708251953,108.47865295410156,55.55265426635742,70.82544708251953
2007-06-05,55.39510726928711,108.04927062988281,46.19538879394531,66.37000274658203,56.625667572021484,47.531700134277344,35.251861572265625,70.82544708251953,108.04927062988281,55.39510726928711,70.82544708251953
2007-06-06,55.417625427246094,106.88770294189453,45.53107833862305,66.41000366210938,56.671573638916016,47.509437561035156,35.0127067565918,70.85639190673828,106.88770294189453,55.417625427246094,70.85639190673828
2007-06-07,55.03512191772461,104.95890808105469,44.753211975097656,65.26000213623047,56.17842102050781,46.65826416015625,33.9116325378418,70.8409423828125,104.95890808105469,55.03512191772461,70.8409423828125
2007-06-08,54.96755599975586,106.32454681396484,45.24149703979492,64.22000122070312,56.281620025634766,46.619327545166016,34.3177604675293,70.85639190673828,106.32454681396484,54.96755599975586,70.85639190673828
2007-06-11,55.00694274902344,106.5075912475586,45.39480209350586,64.69999694824219,56.16123580932617,46.485816955566406,33.803340911865234,70.88732147216797,106.5075912475586,55.00694274902344,70.88732147216797
2007-06-12,54.6806640625,105.34605407714844,44.58854293823242,64.0999984741211,55.81142044067383,45.81262969970703,33.21671676635742,70.82544708251953,105.34605407714844,54.6806640625,70.82544708251953
2007-06-13,54.765018463134766,106.92288970947266,45.167694091796875,64.52999877929688,56.01787567138672,46.35784912109375,33.95225143432617,70.88732147216797,106.92288970947266,54.765018463134766,70.88732147216797
